,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,model_params,noise_info,repeat_num
0,Cora,GNN,x,edge_addition_all_edges__noiselvl-0,0.802,"0.807,0.807,0.791",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
1,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.01,0.791,"0.79,0.794,0.788",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
2,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.05,0.799,"0.788,0.803,0.805",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
3,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.1,0.796,"0.793,0.797,0.797",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
4,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.15,0.787,"0.792,0.78,0.789",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
5,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.3,0.774,"0.763,0.784,0.775",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
6,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.45,0.763,"0.76,0.757,0.771",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
7,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.6,0.741,"0.703,0.761,0.758",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
8,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.9,0.745,"0.749,0.734,0.751",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
9,Cora,GNN,x,edge_addition_all_edges__noiselvl-0.95,0.746,"0.737,0.756,0.746",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9530], edge_removal_all_edges__noiselvl-0.15=[2, 9032], edge_removal_all_edges__noiselvl-0.3=[2, 7652], edge_removal_all_edges__noiselvl-0.45=[2, 6340], edge_removal_all_edges__noiselvl-0.6=[2, 5210], edge_removal_all_edges__noiselvl-0.9=[2, 3224], edge_removal_all_edges__noiselvl-0.95=[2, 2904], edge_removal_all_edges__noiselvl-0.99=[2, 2722], edge_removal_all_edges__noiselvl-1=[2, 2590], edge_addition_all_edges__noiselvl-0=[2, 10556], edge_addition_all_edges__noiselvl-0.01=[2, 10660], edge_addition_all_edges__noiselvl-0.05=[2, 11082], edge_addition_all_edges__noiselvl-0.1=[2, 11610], edge_addition_all_edges__noiselvl-0.15=[2, 12138], edge_addition_all_edges__noiselvl-0.3=[2, 13722], edge_addition_all_edges__noiselvl-0.45=[2, 15306], edge_addition_all_edges__noiselvl-0.6=[2, 16888], edge_addition_all_edges__noiselvl-0.9=[2, 20056], edge_addition_all_edges__noiselvl-0.95=[2, 20584], edge_addition_all_edges__noiselvl-0.99=[2, 21006], edge_addition_all_edges__noiselvl-1=[2, 21112]), 'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",3
